year,month,rain,press,RH,temp,wind
2018,8,6.539011533,1005.946299,94.10270085,30.03696535,26.90100727
2018,9,4.739760538,1009.777114,95.65592149,31.41019618,31.07468976
2018,10,0.887437415,1013.640619,92.61689562,31.4150348,26.16005145
2018,11,0.254469183,1014.422799,92.05330505,30.62005745,25.34878308
2018,12,0.137526453,1015.367769,89.96411547,29.85531906,24.55704206
2019,1,0.002257247,1016.795019,85.56325314,29.3482668,27.10862861
2019,2,0.445636148,1014.192932,88.09756341,32.3397685,30.22958847
2019,3,1.399883744,1011.95061,85.2241164,33.88656698,28.86419438
2019,4,1.865836971,1010.274918,87.60664556,34.89287926,33.30621234
2019,5,5.322072097,1008.746899,92.27719255,33.20302698,28.42231594
2019,6,1.796574281,1007.398329,90.42279173,33.15196632,33.48629898
2019,7,5.637840439,1006.981034,90.42963833,32.36920249,27.91541425
2019,8,16.94273181,1006.210461,94.82023668,30.63674439,31.96972802
2019,9,9.46967557,1010.861697,93.91133409,30.45738388,30.39813942
2019,10,1.016879831,1012.838258,91.58080509,30.90306731,25.62526756
2019,11,0.150603629,1014.424633,89.39855497,29.61287789,29.03535672
2019,12,0.001225321,1017.046837,89.41927983,28.18174945,22.44004114
2020,1,0.349194379,1015.465455,89.78832147,29.45678833,28.97039272
2020,2,0.015981155,1016.704617,84.50031538,29.71584528,28.18931145
2020,3,2.118492929,1012.243474,89.69602002,31.9472437,27.26301229
2020,4,1.612721026,1013.062873,87.36792104,32.55131713,31.11742176
2020,5,4.53448968,1009.230437,89.30638264,33.66656618,27.37870167
2020,6,3.088739929,1008.127541,93.27422361,32.18424255,31.09846778
2020,7,4.363165759,1007.856957,93.30635651,32.14885809,26.83902464
2020,8,9.417554758,1007.181575,95.99598904,30.52984699,31.21591392
2020,9,7.049411428,1009.049339,96.76784787,30.65877086,30.59511883
2020,10,5.952720475,1010.134904,95.84962846,28.06968673,25.04592118
2020,11,0.142469154,1014.874687,90.96014942,29.07556399,28.38804141
2020,12,0.001426812,1016.070468,89.23783813,27.5513503,22.59358348
2021,1,0,1016.789804,89.10229287,26.56671972,25.40334638
2021,2,1.710982661,1014.820924,89.86394814,29.39223602,28.15248777
2021,3,0.962398531,1012.3715,88.63161814,31.91236788,27.7782984
2021,4,5.074610089,1011.321373,91.3133792,32.1217683,26.50041864
2021,5,3.324437032,1008.920219,92.88998318,32.65894854,27.01265662
2021,6,5.623282776,1007.501,93.07450238,31.85845818,26.23576282
2021,7,5.942741335,1006.704545,93.87472249,31.31722453,26.7851578
2021,8,4.865417899,1008.536766,93.06092292,31.62494177,26.77125104
2021,9,10.59726896,1009.513713,97.55017271,29.75451104,25.57253531
2021,10,5.993536385,1011.00818,94.94557707,29.80995406,25.74161545
2021,11,0.029858666,1013.773224,89.47438012,29.48071859,24.52061288
2021,12,0.025804109,1017.455366,88.3434833,27.8741366,22.79993475
2022,1,0.107771358,1015.077364,90.53716799,29.04930685,23.96697904
2022,2,0.874206086,1014.798645,88.41901776,28.66685029,23.47072399
2022,3,3.304162062,1011.426917,91.69435859,31.44259571,26.99447049
2022,4,1.787404322,1011.602921,87.9182297,31.63915636,25.47166058
2022,5,9.881981341,1008.733612,94.58573462,30.57444053,26.0207512
2022,6,6.658221611,1007.778221,91.85182644,31.909721,26.35273723
2022,7,9.117960586,1006.537021,95.07365983,31.18653477,27.09966058
2022,8,6.549876364,1007.506645,95.28692227,31.00123034,26.80212116
2022,9,10.26113066,1009.032846,96.39021329,30.34417769,26.08556769
2022,10,3.225229573,1013.069441,90.16415609,30.06067234,25.91149849
2022,11,1.622232616,1012.761418,91.33512616,30.67485065,24.91952858
